,IC3Net: mean,IC3Net: max,IC3Net: min,IC3Net: values,IC3Net vs CommNet: t_stat,IC3Net vs CommNet: t_p_value,IC3Net vs CommNet: wilcoxon_stat,IC3Net vs CommNet: wilcoxon_p_value,IC3Net vs TarMAC+CAVE: t_stat,IC3Net vs TarMAC+CAVE: t_p_value,IC3Net vs TarMAC+CAVE: wilcoxon_stat,IC3Net vs TarMAC+CAVE: wilcoxon_p_value,IC3Net vs TarMAC: t_stat,IC3Net vs TarMAC: t_p_value,IC3Net vs TarMAC: wilcoxon_stat,IC3Net vs TarMAC: wilcoxon_p_value,CommNet: mean,CommNet: max,CommNet: min,CommNet: values,CommNet vs IC3Net: t_stat,CommNet vs IC3Net: t_p_value,CommNet vs IC3Net: wilcoxon_stat,CommNet vs IC3Net: wilcoxon_p_value,CommNet vs TarMAC+CAVE: t_stat,CommNet vs TarMAC+CAVE: t_p_value,CommNet vs TarMAC+CAVE: wilcoxon_stat,CommNet vs TarMAC+CAVE: wilcoxon_p_value,CommNet vs TarMAC: t_stat,CommNet vs TarMAC: t_p_value,CommNet vs TarMAC: wilcoxon_stat,CommNet vs TarMAC: wilcoxon_p_value,TarMAC+CAVE: mean,TarMAC+CAVE: max,TarMAC+CAVE: min,TarMAC+CAVE: values,TarMAC+CAVE vs IC3Net: t_stat,TarMAC+CAVE vs IC3Net: t_p_value,TarMAC+CAVE vs IC3Net: wilcoxon_stat,TarMAC+CAVE vs IC3Net: wilcoxon_p_value,TarMAC+CAVE vs CommNet: t_stat,TarMAC+CAVE vs CommNet: t_p_value,TarMAC+CAVE vs CommNet: wilcoxon_stat,TarMAC+CAVE vs CommNet: wilcoxon_p_value,TarMAC+CAVE vs TarMAC: t_stat,TarMAC+CAVE vs TarMAC: t_p_value,TarMAC+CAVE vs TarMAC: wilcoxon_stat,TarMAC+CAVE vs TarMAC: wilcoxon_p_value,TarMAC: mean,TarMAC: max,TarMAC: min,TarMAC: values,TarMAC vs IC3Net: t_stat,TarMAC vs IC3Net: t_p_value,TarMAC vs IC3Net: wilcoxon_stat,TarMAC vs IC3Net: wilcoxon_p_value,TarMAC vs CommNet: t_stat,TarMAC vs CommNet: t_p_value,TarMAC vs CommNet: wilcoxon_stat,TarMAC vs CommNet: wilcoxon_p_value,TarMAC vs TarMAC+CAVE: t_stat,TarMAC vs TarMAC+CAVE: t_p_value,TarMAC vs TarMAC+CAVE: wilcoxon_stat,TarMAC vs TarMAC+CAVE: wilcoxon_p_value
1864,75.55199999999999,81.94433691227238,69.15966308772761,"[0.4723, 0.825, 0.8607, 0.8009, 0.8187]",1.8486526590516759,0.05084333885651154,13.0,0.09375,-1.3497023266656525,0.8929709324041226,0.0,1.0,-0.4522366274185357,0.6684454251966581,9.0,0.40625,61.14200000000001,63.92515993072624,58.35884006927378,"[0.6509, 0.5464, 0.5714, 0.7143, 0.5741]",-1.8486526590516759,0.9491566611434884,2.0,0.9375,-7.126420803168636,0.9999503150632675,0.0,1.0,-4.163771208646623,0.9984255592786114,0.0,1.0,85.374,86.6002449999898,84.14775500001019,"[0.8634, 0.8286, 0.8982, 0.8571, 0.8214]",1.3497023266656525,0.10702906759587733,15.0,0.03125,7.126420803168636,4.968493673254753e-05,15.0,0.03125,1.93277579015736,0.04466856184733245,15.0,0.03125,79.052,81.70823402583433,76.39576597416568,"[0.8491, 0.6937, 0.8232, 0.8366, 0.75]",0.4522366274185357,0.33155457480334194,6.0,0.6875,4.163771208646623,0.0015744407213885074,15.0,0.03125,-1.93277579015736,0.9553314381526675,0.0,1.0
1865,75.75,81.96264066239148,69.53735933760852,"[0.4839, 0.8134, 0.8643, 0.7911, 0.8348]",2.0050456078748153,0.039944622244771244,13.0,0.09375,-1.3414276753281573,0.891693288726985,2.0,0.9375,-0.5127688180001784,0.68901608957381,8.0,0.5,57.554,62.77789938647368,52.33010061352633,"[0.6366, 0.3625, 0.5839, 0.7134, 0.5813]",-2.0050456078748153,0.9600553777552288,2.0,0.9375,-4.6065786134381135,0.9991297871171594,0.0,1.0,-3.40238714700041,0.9953362544696644,0.0,1.0,85.26599999999999,86.55527142216059,83.9767285778394,"[0.8562, 0.8187, 0.9, 0.8616, 0.8268]",1.3414276753281573,0.10830671127301512,13.0,0.09375,4.6065786134381135,0.0008702128828405994,15.0,0.03125,1.8027592424608763,0.05454595915791923,15.0,0.03125,79.58999999999999,82.09364853763462,77.08635146236536,"[0.8482, 0.7, 0.7982, 0.8545, 0.7786]",0.5127688180001784,0.31098391042619,7.0,0.59375,3.40238714700041,0.004663745530335494,15.0,0.03125,-1.8027592424608763,0.9454540408420807,0.0,1.0
1866,76.108,82.15817579909874,70.05782420090127,"[0.4929, 0.8277, 0.8607, 0.808, 0.8161]",2.0907925520683746,0.034965916795341084,13.0,0.09375,-1.2534881936814275,0.877290199538192,3.0,0.90625,-0.4236539848780223,0.6585105541846101,9.0,0.40625,54.693999999999996,61.57259206524125,47.81540793475874,"[0.633, 0.2571, 0.5571, 0.7071, 0.5804]",-2.0907925520683746,0.9650340832046589,2.0,0.9375,-3.8194981876452676,0.9974533219822834,0.0,1.0,-3.016069951952885,0.991670575025147,0.0,1.0,84.894,86.53684290180163,83.25115709819838,"[0.8625, 0.8027, 0.9054, 0.8589, 0.8152]",1.2534881936814275,0.122709800461808,12.0,0.15625,3.8194981876452676,0.002546678017716597,15.0,0.03125,1.795979732269969,0.0551140581389826,15.0,0.03125,79.178,81.502768203499,76.85323179650099,"[0.8473, 0.7116, 0.8116, 0.8366, 0.7518]",0.4236539848780223,0.34148944581538987,6.0,0.6875,3.016069951952885,0.008329424974852936,15.0,0.03125,-1.795979732269969,0.9448859418610174,0.0,1.0
1867,77.39399999999999,83.54489625989578,71.2431037401042,"[0.5027, 0.8491, 0.8804, 0.8161, 0.8214]",2.3362985640340335,0.023845229173857705,13.0,0.09375,-1.174011348889234,0.8629233037398921,2.0,0.9375,-0.4254787917584464,0.6591488818951531,9.0,0.40625,58.484,62.30194981632813,54.66605018367187,"[0.6179, 0.4518, 0.5795, 0.7152, 0.5598]",-2.3362985640340335,0.9761547708261423,2.0,0.9375,-6.029683860518578,0.9998435560923645,0.0,1.0,-4.278412672273685,0.9986533538657237,0.0,1.0,85.642,86.92747080869228,84.35652919130771,"[0.8741, 0.8357, 0.9027, 0.8473, 0.8223]",1.174011348889234,0.13707669626010788,13.0,0.09375,6.029683860518578,0.0001564439076354652,15.0,0.03125,1.5657845950997837,0.07801585147687834,14.0,0.0625,80.57000000000001,83.16650996531884,77.97349003468118,"[0.8571, 0.7107, 0.8384, 0.8562, 0.7661]",0.4254787917584464,0.3408511181048469,6.0,0.6875,4.278412672273685,0.0013466461342762955,15.0,0.03125,-1.5657845950997837,0.9219841485231217,1.0,0.96875
1868,76.91,83.02270349354522,70.79729650645477,"[0.4973, 0.8536, 0.85, 0.8125, 0.8321]",2.1773249895428557,0.030558383753984033,13.0,0.09375,-1.141573918718167,0.8566762836819393,3.0,0.90625,-0.2780661673834667,0.6059935065153477,9.0,0.40625,60.678,63.34196456432888,58.01403543567111,"[0.6339, 0.5268, 0.5732, 0.7036, 0.5964]",-2.1773249895428557,0.969441616246016,2.0,0.9375,-6.968894117284839,0.9999419017142582,0.0,1.0,-4.470884600427226,0.9989596059504079,0.0,1.0,84.982,86.60477638632068,83.35922361367932,"[0.8554, 0.8107, 0.9089, 0.8616, 0.8125]",1.141573918718167,0.14332371631806068,12.0,0.15625,6.968894117284839,5.809828574180269e-05,15.0,0.03125,1.8023199437834223,0.05458260286534379,15.0,0.03125,78.964,81.47116828314336,76.45683171685664,"[0.8527, 0.6982, 0.8027, 0.8366, 0.758]",0.2780661673834667,0.39400649348465244,6.0,0.6875,4.470884600427226,0.0010403940495921234,15.0,0.03125,-1.8023199437834223,0.9454173971346562,0.0,1.0
1869,75.96400000000001,81.70796490239975,70.22003509760027,"[0.5098, 0.8402, 0.858, 0.7688, 0.8214]",2.0975302262494897,0.03460143409515231,13.0,0.09375,-1.432500590461185,0.9050529659314028,3.0,0.90625,-0.4921040604023226,0.6820677427876765,7.0,0.59375,60.714,63.762685749630485,57.66531425036951,"[0.6375, 0.5357, 0.575, 0.7259, 0.5616]",-2.0975302262494897,0.9653985659048476,2.0,0.9375,-6.696771163553195,0.9999233922901392,0.0,1.0,-4.401268775978516,0.9988585598686412,0.0,1.0,85.37800000000001,86.62576728599528,84.13023271400475,"[0.8625, 0.8268, 0.8938, 0.8679, 0.8179]",1.432500590461185,0.09494703406859717,12.0,0.15625,6.696771163553195,7.660770986077428e-05,15.0,0.03125,2.0930835079747045,0.034841565228119396,15.0,0.03125,79.358,81.6076264578814,77.10837354211861,"[0.8509, 0.7179, 0.8071, 0.8375, 0.7545]",0.4921040604023226,0.31793225721232354,8.0,0.5,4.401268775978516,0.001141440131358775,15.0,0.03125,-2.0930835079747045,0.9651584347718806,0.0,1.0
1870,76.322,82.56008008925824,70.08391991074177,"[0.4884, 0.8384, 0.8661, 0.7911, 0.8321]",1.8994746477879896,0.04702198041863534,13.0,0.09375,-1.277398839725188,0.8813582151634884,3.0,0.90625,-0.5577469425976447,0.7038612322874476,9.0,0.40625,61.822,64.59777578345226,59.04622421654774,"[0.617, 0.5732, 0.5759, 0.7384, 0.5866]",-1.8994746477879896,0.9529780195813646,2.0,0.9375,-6.766491701865659,0.9999286882590571,0.0,1.0,-4.912811493923282,0.9994126927103387,0.0,1.0,85.46400000000001,86.89975652532037,84.02824347467966,"[0.8446, 0.8241, 0.9036, 0.8795, 0.8214]",1.277398839725188,0.11864178483651157,12.0,0.15625,6.766491701865659,7.131174094281495e-05,15.0,0.03125,1.8847190351701886,0.048102291803030155,14.0,0.0625,80.394,82.32473167478032,78.46326832521969,"[0.8536, 0.7464, 0.8054, 0.8491, 0.7652]",0.5577469425976447,0.29613876771255254,6.0,0.6875,4.912811493923282,0.000587307289661309,15.0,0.03125,-1.8847190351701886,0.9518977081969698,1.0,0.96875
1871,75.91,82.37941171977792,69.44058828022207,"[0.4732, 0.8446, 0.8571, 0.7911, 0.8295]",1.91508731892382,0.04590419651944362,13.0,0.09375,-1.3240883017696097,0.8889734553336118,3.0,0.90625,-0.5591675048530318,0.7043237121968482,8.0,0.5,60.89399999999999,63.60147646342493,58.18652353657505,"[0.6366, 0.5518, 0.5652, 0.7152, 0.5759]",-1.91508731892382,0.9540958034805564,2.0,0.9375,-7.571252211001777,0.9999676130844483,0.0,1.0,-4.747864442271966,0.9992753889362559,0.0,1.0,85.624,86.72152302937113,84.52647697062886,"[0.8589, 0.8339, 0.8902, 0.8741, 0.8241]",1.3240883017696097,0.11102654466638817,12.0,0.15625,7.571252211001777,3.238691555176902e-05,15.0,0.03125,1.8041720788902869,0.054428265955327966,14.0,0.0625,80.23200000000001,82.6694091162544,77.79459088374563,"[0.8607, 0.7223, 0.8277, 0.8473, 0.7536]",0.5591675048530318,0.2956762878031518,7.0,0.59375,4.747864442271966,0.000724611063744166,15.0,0.03125,-1.8041720788902869,0.9455717340446721,1.0,0.96875
1872,76.106,81.88455663639286,70.32744336360713,"[0.5089, 0.8562, 0.8482, 0.7759, 0.8161]",1.8718690488543936,0.049062344987283985,13.0,0.09375,-1.3952595488179806,0.8997744571331878,3.0,0.90625,-0.6500300544582939,0.733055100653784,7.0,0.59375,62.5,65.47911799027833,59.52088200972167,"[0.6321, 0.5875, 0.5786, 0.7518, 0.575]",-1.8718690488543936,0.950937655012716,2.0,0.9375,-6.192632307864949,0.9998692399543182,0.0,1.0,-4.360668503910406,0.9987947592549616,0.0,1.0,85.394,86.82890375983897,83.95909624016105,"[0.8679, 0.8268, 0.9027, 0.8607, 0.8116]",1.3952595488179806,0.10022554286681211,12.0,0.15625,6.192632307864949,0.00013076004568182836,15.0,0.03125,1.6224697323774384,0.07167983519771084,15.0,0.03125,80.604,82.8207229867532,78.3872770132468,"[0.8562, 0.7196, 0.8339, 0.8375, 0.783]",0.6500300544582939,0.266944899346216,8.0,0.5,4.360668503910406,0.0012052407450383047,15.0,0.03125,-1.6224697323774384,0.9283201648022892,0.0,1.0
1873,74.786,80.81624152086796,68.75575847913204,"[0.483, 0.8313, 0.8473, 0.7723, 0.8054]",1.8659043957245325,0.049514157944167844,13.0,0.09375,-1.4254494310152248,0.9040726761176058,2.0,0.9375,-0.7485117756337891,0.7622102780864789,7.0,0.59375,60.660000000000004,63.740141555188664,57.57985844481134,"[0.6312, 0.5732, 0.5357, 0.7295, 0.5634]",-1.8659043957245325,0.9504858420558321,2.0,0.9375,-6.36147149250269,0.999891041598953,0.0,1.0,-4.598062483657951,0.9991200473492654,0.0,1.0,84.642,86.01398367337224,83.27001632662775,"[0.8562, 0.8098, 0.8929, 0.858, 0.8152]",1.4254494310152248,0.09592732388239415,13.0,0.09375,6.36147149250269,0.00010895840104696255,15.0,0.03125,1.5381755065649763,0.08128229519107222,14.0,0.0625,80.162,82.37649298937703,77.94750701062299,"[0.8625, 0.7366, 0.8179, 0.8402, 0.7509]",0.7485117756337891,0.2377897219135211,8.0,0.5,4.598062483657951,0.0008799526507346011,15.0,0.03125,-1.5381755065649763,0.9187177048089278,1.0,0.96875
1874,76.75,82.34720787536071,71.15279212463929,"[0.5241, 0.8545, 0.8571, 0.7759, 0.8259]",2.4643556767850616,0.01952631051794189,13.0,0.09375,-1.3802359341192236,0.8975735425493714,3.0,0.90625,-0.7628803928721325,0.7662843881235918,7.0,0.59375,59.75,62.346363610898905,57.153636389101095,"[0.6196, 0.5464, 0.5643, 0.7018, 0.5554]",-2.4643556767850616,0.980473689482058,2.0,0.9375,-7.946455259276509,0.9999770851874829,0.0,1.0,-5.657443539239394,0.9997613559661277,0.0,1.0,85.624,86.94322280150094,84.30477719849905,"[0.8616, 0.8295, 0.9009, 0.8705, 0.8187]",1.3802359341192236,0.10242645745062869,12.0,0.15625,7.946455259276509,2.2914812517092624e-05,15.0,0.03125,1.2232481510920408,0.12802140016359298,12.0,0.15625,81.92999999999999,84.28693529822097,79.57306470177902,"[0.8857, 0.7286, 0.8107, 0.8536, 0.8179]",0.7628803928721325,0.2337156118764082,8.0,0.5,5.657443539239394,0.00023864403387229845,15.0,0.03125,-1.2232481510920408,0.871978599836407,3.0,0.90625
