,CommNet: mean,CommNet: max,CommNet: min,CommNet: values,CommNet vs TarMAC+CAVE: t_stat,CommNet vs TarMAC+CAVE: t_p_value,CommNet vs TarMAC+CAVE: wilcoxon_stat,CommNet vs TarMAC+CAVE: wilcoxon_p_value,CommNet vs TarMAC: t_stat,CommNet vs TarMAC: t_p_value,CommNet vs TarMAC: wilcoxon_stat,CommNet vs TarMAC: wilcoxon_p_value,TarMAC+CAVE: mean,TarMAC+CAVE: max,TarMAC+CAVE: min,TarMAC+CAVE: values,TarMAC+CAVE vs CommNet: t_stat,TarMAC+CAVE vs CommNet: t_p_value,TarMAC+CAVE vs CommNet: wilcoxon_stat,TarMAC+CAVE vs CommNet: wilcoxon_p_value,TarMAC+CAVE vs TarMAC: t_stat,TarMAC+CAVE vs TarMAC: t_p_value,TarMAC+CAVE vs TarMAC: wilcoxon_stat,TarMAC+CAVE vs TarMAC: wilcoxon_p_value,TarMAC: mean,TarMAC: max,TarMAC: min,TarMAC: values,TarMAC vs CommNet: t_stat,TarMAC vs CommNet: t_p_value,TarMAC vs CommNet: wilcoxon_stat,TarMAC vs CommNet: wilcoxon_p_value,TarMAC vs TarMAC+CAVE: t_stat,TarMAC vs TarMAC+CAVE: t_p_value,TarMAC vs TarMAC+CAVE: wilcoxon_stat,TarMAC vs TarMAC+CAVE: wilcoxon_p_value
1569,93.47800000000002,96.91204880571027,90.04395119428978,"[0.9978, 0.827, 0.8558, 0.9965, 0.9968]",2.535557699787026,0.01747583440001048,15.0,0.03125,2.494874702519544,0.0186191302677071,15.0,0.03125,80.09599999999999,83.33496477288654,76.85703522711344,"[0.7625, 0.7765, 0.761, 0.9453, 0.7595]",-2.535557699787026,0.9825241655999895,0.0,1.0,0.10819606178934096,0.458252302704916,7.0,0.2326044092260709,79.506,83.1526188174801,75.8593811825199,"[0.761, 0.7715, 0.7278, 0.9555, 0.7595]",-2.494874702519544,0.9813808697322929,0.0,1.0,-0.10819606178934096,0.5417476972950839,3.0,0.7673955907739292
1570,93.538,96.86848272777385,90.20751727222614,"[0.9978, 0.8307, 0.859, 0.9932, 0.9962]",2.667014743006791,0.014246914005417704,15.0,0.03125,2.5189445359929863,0.01793384617150892,15.0,0.03125,79.618,82.88922533616991,76.34677466383008,"[0.7658, 0.7548, 0.7598, 0.9423, 0.7582]",-2.667014743006791,0.9857530859945823,0.0,1.0,-0.023570701595275342,0.5091138178458221,6.0,0.6875,79.74600000000001,83.33641680031721,76.15558319968281,"[0.764, 0.7755, 0.7225, 0.9535, 0.7718]",-2.5189445359929863,0.982066153828491,0.0,1.0,0.023570701595275342,0.4908861821541779,9.0,0.40625
1571,93.75399999999999,96.90345912816787,90.60454087183211,"[0.9975, 0.8405, 0.863, 0.9932, 0.9935]",2.519556596359964,0.017916757879967906,15.0,0.03125,2.641730196122682,0.014816824961651681,15.0,0.03125,81.14000000000001,84.32314812724763,77.9568518727524,"[0.7785, 0.7775, 0.7738, 0.9537, 0.7735]",-2.519556596359964,0.9820832421200321,0.0,1.0,0.22453927937053883,0.4139832538773921,13.0,0.09375,79.962,83.40967794319597,76.51432205680403,"[0.7823, 0.759, 0.7458, 0.952, 0.759]",-2.641730196122682,0.9851831750383483,0.0,1.0,-0.22453927937053883,0.5860167461226078,2.0,0.9375
1572,93.20400000000001,96.69413077118897,89.71386922881105,"[0.9972, 0.8215, 0.853, 0.994, 0.9945]",2.496201601119704,0.018580670362013607,15.0,0.03125,2.4126456324745322,0.021166540184524435,15.0,0.03125,79.604,83.00487823951403,76.20312176048597,"[0.7525, 0.7622, 0.7595, 0.948, 0.758]",-2.496201601119704,0.9814193296379864,0.0,1.0,-0.07139772398111079,0.5275830684060858,5.0,0.78125,79.99000000000001,83.427556108633,76.55244389136702,"[0.7625, 0.7695, 0.7432, 0.9523, 0.772]",-2.4126456324745322,0.9788334598154755,0.0,1.0,0.07139772398111079,0.4724169315939142,10.0,0.3125
1573,93.514,96.90344077983374,90.12455922016625,"[0.9985, 0.8313, 0.8542, 0.9965, 0.9952]",2.432463718462029,0.020522095480056013,15.0,0.03125,2.5008537200818473,0.01844646419592629,15.0,0.03125,80.486,83.87127824558041,77.1007217544196,"[0.7705, 0.7592, 0.7718, 0.956, 0.7668]",-2.432463718462029,0.979477904519944,0.0,1.0,0.10171554825079455,0.46074283666123916,8.0,0.5,79.934,83.4126314550409,76.4553685449591,"[0.7718, 0.7702, 0.7322, 0.952, 0.7705]",-2.5008537200818473,0.9815535358040737,0.0,1.0,-0.10171554825079455,0.5392571633387608,7.0,0.59375
1574,93.17,96.71352254120106,89.62647745879895,"[0.9985, 0.8217, 0.8488, 0.9965, 0.993]",2.3324943599160517,0.023987258602906195,15.0,0.03125,2.4055960487713075,0.021400661360793886,15.0,0.03125,80.636,83.88320014781965,77.38879985218034,"[0.7698, 0.7725, 0.7658, 0.9515, 0.7722]",-2.3324943599160517,0.9760127413970938,0.0,1.0,0.14745365117536532,0.44321123548741814,9.0,0.07206351740800766,79.854,83.31177454441436,76.39622545558564,"[0.7698, 0.7642, 0.748, 0.9525, 0.7582]",-2.4055960487713075,0.9785993386392061,0.0,1.0,-0.14745365117536532,0.5567887645125819,1.0,0.9279364825919924
1575,93.21199999999999,96.7394210409306,89.68457895906938,"[0.9992, 0.8227, 0.8495, 0.994, 0.9952]",2.3394076606469465,0.02372977672224003,15.0,0.03125,2.4557328175206075,0.019790634307494708,15.0,0.03125,80.548,83.86472537301478,77.23127462698523,"[0.7618, 0.7748, 0.7725, 0.9535, 0.7648]",-2.3394076606469465,0.97627022327776,0.0,1.0,0.1557704266405243,0.4400364131669671,11.0,0.21875,79.718,83.14034118696544,76.29565881303456,"[0.7672, 0.77, 0.7362, 0.9483, 0.7642]",-2.4557328175206075,0.9802093656925053,0.0,1.0,-0.1557704266405243,0.5599635868330328,4.0,0.84375
1576,93.474,96.89865484392223,90.04934515607778,"[0.9982, 0.8285, 0.8545, 0.997, 0.9955]",2.5245196333130444,0.017778802198008672,15.0,0.03125,2.439599191540313,0.020294938078457964,15.0,0.03125,80.108,83.37861021829261,76.8373897817074,"[0.7642, 0.7615, 0.7652, 0.9473, 0.7672]",-2.5245196333130444,0.9822211978019914,0.0,1.0,-0.04408487573946911,0.5170413686085983,5.0,0.78125,80.33999999999999,83.72509556733631,76.95490443266367,"[0.771, 0.7698, 0.7485, 0.9537, 0.774]",-2.439599191540313,0.979705061921542,0.0,1.0,0.04408487573946911,0.4829586313914017,10.0,0.3125
1577,93.304,96.80435609617079,89.80364390382921,"[0.9985, 0.8275, 0.8475, 0.9955, 0.9962]",2.4253576422289496,0.020750865278154392,15.0,0.03125,2.552167579394201,0.017029786811048088,15.0,0.03125,80.15799999999999,83.51219665493839,76.80380334506158,"[0.7718, 0.7585, 0.7605, 0.9513, 0.7658]",-2.4253576422289496,0.9792491347218456,0.0,1.0,0.12470472248605613,0.45191696846549473,12.0,0.15625,79.498,82.83833339653395,76.15766660346605,"[0.7698, 0.7658, 0.736, 0.9425, 0.7608]",-2.552167579394201,0.982970213188952,0.0,1.0,-0.12470472248605613,0.5480830315345053,3.0,0.90625
1578,93.378,96.86309787523966,89.89290212476034,"[0.997, 0.8207, 0.8582, 0.9958, 0.9972]",2.4119833799201063,0.021188423844035284,15.0,0.03125,2.5145002484144,0.018058424503779022,15.0,0.03125,80.284,83.66496980169892,76.9030301983011,"[0.7668, 0.7622, 0.767, 0.954, 0.7642]",-2.4119833799201063,0.9788115761559647,0.0,1.0,0.13374213495954151,0.4484548615758634,10.0,0.3125,79.56,83.02597518744724,76.09402481255276,"[0.7698, 0.7572, 0.7305, 0.9477, 0.7728]",-2.5145002484144,0.981941575496221,0.0,1.0,-0.13374213495954151,0.5515451384241367,5.0,0.78125
1579,93.394,96.85200821283004,89.93599178716997,"[0.9982, 0.8233, 0.857, 0.996, 0.9952]",2.56320453223488,0.01673981453019111,15.0,0.03125,2.5428480992532156,0.01727861139613666,15.0,0.03125,79.76599999999999,83.03046271230043,76.50153728769955,"[0.7532, 0.7648, 0.759, 0.9433, 0.768]",-2.56320453223488,0.9832601854698089,0.0,1.0,0.07705368656902346,0.4702365449673405,9.0,0.40625,79.352,82.87868841833242,75.82531158166759,"[0.759, 0.768, 0.7315, 0.9493, 0.7598]",-2.5428480992532156,0.9827213886038634,0.0,1.0,-0.07705368656902346,0.5297634550326595,6.0,0.6875
